16 22106 83718
0 0     -3.859900e+02 3.871200e+02
1 0     -3.844000e+01 4.921200e+02
2 0     -6.679200e+02 1.231100e+02
7 0     -5.991800e+02 4.079300e+02
12 0     -7.204300e+02 3.143400e+02
13 0     -1.151300e+02 5.548999e+01
0 1     3.838800e+02 -1.529999e+01
1 1     5.597500e+02 -1.061500e+02
10 1     3.531899e+02 1.649500e+02
0 2     5.915500e+02 1.364400e+02
1 2     8.638600e+02 -2.346997e+01
2 2     4.947200e+02 1.125200e+02
6 2     4.087800e+02 2.846700e+02
7 2     4.246100e+02 3.101700e+02
9 2     2.848900e+02 1.928900e+02
10 2     5.826200e+02 3.637200e+02
12 2     4.940601e+02 2.939500e+02
13 2     7.968300e+02 -7.853003e+01
15 2     7.798900e+02 4.082500e+02
0 3     5.925000e+02 1.257500e+02
1 3     8.610800e+02 -3.521997e+01
2 3     4.985400e+02 1.015600e+02
6 3     4.123100e+02 2.729200e+02
7 3     4.267300e+02 2.995900e+02
8 3     4.683800e+02 5.512000e+01
9 3     2.879500e+02 1.839400e+02
10 3     5.840500e+02 3.509700e+02
12 3     4.973199e+02 2.825100e+02
15 3     7.819500e+02 3.932600e+02
0 4     3.487200e+02 5.583800e+02
1 4     7.760300e+02 4.835300e+02
2 4     7.780029e+00 3.263500e+02
3 4     -1.372400e+02 -7.799988e+00
5 4     7.500699e+02 -7.871997e+01
6 4     -1.160900e+02 6.642200e+02
8 4     8.704999e+01 2.563100e+02
9 4     -1.471900e+02 3.578000e+02
11 4     4.569200e+02 -1.971600e+02
13 4     4.635800e+02 2.410300e+02
14 4     6.482500e+02 -1.595700e+02
0 5     1.401001e+01 9.642001e+01
1 5     2.071300e+02 1.183600e+02
3 5     1.859003e+01 -2.068000e+02
4 5     -2.095300e+02 -4.217600e+02
5 5     6.350900e+02 -5.616200e+02
6 5     -6.738000e+01 1.258300e+02
7 5     -9.081000e+01 2.093600e+02
8 5     1.251800e+02 4.523999e+01
9 5     -2.071997e+01 1.799200e+02
10 5     -8.720001e+01 2.550200e+02
13 5     3.672600e+02 -1.403400e+02
15 5     -2.814001e+01 2.705200e+02
0 6     2.027600e+02 3.409900e+02
1 6     5.431801e+02 2.948100e+02
2 6     -5.841998e+01 1.108300e+02
6 6     -1.970800e+02 3.693100e+02
9 6     -1.916600e+02 1.693800e+02
10 6     1.095900e+02 5.662500e+02
12 6     -4.534003e+01 3.656000e+02
13 6     3.698700e+02 4.792999e+01
14 6     5.376000e+02 -3.953000e+02
0 7     2.784998e+01 6.340997e+01
1 7     2.076700e+02 8.259000e+01
3 7     5.706000e+01 -2.246000e+02
4 7     -2.321000e+02 -4.337000e+02
5 7     6.628300e+02 -5.977400e+02
6 7     -3.060999e+01 9.716998e+01
7 7     -6.769000e+01 1.800300e+02
8 7     1.541100e+02 2.748001e+01
10 7     -6.696997e+01 2.173500e+02
12 7     -1.144000e+01 1.517900e+02
13 7     3.881100e+02 -1.658300e+02
15 7     -5.020020e+00 2.274200e+02
0 8     -2.750000e+01 9.788000e+01
1 8     1.702000e+02 1.310200e+02
3 8     -3.317999e+01 -2.263400e+02
4 8     -2.051100e+02 -3.883200e+02
5 8     5.803199e+02 -5.634100e+02
6 8     -1.245300e+02 1.102100e+02
7 8     -1.350300e+02 2.014500e+02
